site_id,sequence_start_date,anchor_date,reference_date,target_date
77.540116_13.155243,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.540116_13.182192,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.544607_12.831849,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.544607_13.218125,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.549099_12.822866,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.549099_12.831849,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.549099_12.836341,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.549099_12.845324,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.549099_12.867782,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.549099_12.876765,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.549099_12.894731,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.549099_13.096852,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.549099_13.132785,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.55359_12.71956,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.55359_12.782442,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.55359_12.849815,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.55359_12.872273,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.55359_13.069903,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.55359_13.101344,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.55359_13.110327,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.55359_13.128293,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.55359_13.168717,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.55359_13.173209,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.558082_12.710577,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.558082_12.827358,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.558082_12.845324,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.558082_13.042953,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.558082_13.051936,2019-01-01,2019-12-01,2020-01-01,2020-04-01
